집계일자,시군명,구분명,전화번호안내,소재지우편번호,소재지지번주소,소재지도로명주소,logitude,latitude
2015-09-18,여주시,가남읍,031-887-3832,469884,경기도 여주시 가남읍 태평리 138-8번지,경기도 여주시 가남읍 태평중앙1길 20,127.5449956,37.2015967
2015-09-18,의정부시,가능1동,031-828-4200,480101,경기도 의정부시 가능동 653-23번지,경기도 의정부시 신흥로 367,127.042287,37.7490565
2015-09-18,의정부시,가능2동,031-828-4210,480102,경기도 의정부시 가능동 831-1번지,경기도 의정부시 의정로88번길 9,127.0355295,37.7408239
2015-09-18,의정부시,가능3동,031-828-4220,480103,경기도 의정부시 가능동 702-10번지,경기도 의정부시 호국로1135번길 15,127.0296717,37.7434239
2015-09-18,포천시,가산면,031-538-3904,487814,경기도 포천시 가산면 마산리 601-1번지,경기도 포천시 가산면 선마로 223,127.1861447,37.84821
2015-09-18,가평군,가평군청,031-580-2114,477701,경기도 가평군 가평읍 읍내리 513번지,경기도 가평군 가평읍 석봉로 181,127.5097056,37.8313181
2015-09-18,가평군,가평읍,031-582-3002,477805,경기도 가평군 가평읍 읍내리 366번지,경기도 가평군 가평읍 가화로 62,127.5165387,37.8253601
2015-09-18,구리시,갈매동,031-550-2601,471858,구리시 산마루로 1 (갈매동 256-14),,127.116307,37.6348
2015-09-18,안양시,갈산동,031-8045-4760,431088,경기도 안양시 동안구 호계동 1118번지,경기도 안양시 동안구 흥안대로223번길 30,126.9661696,37.376144
2015-09-18,과천시,갈현동,02-2150-3200,427100,경기도 과천시 갈현동 679번지,경기도 과천시 중앙로 28,126.9891188,37.4193613
2015-09-18,하남시,감북동,031-790-6608,465180,경기도 하남시 감북동 328번지,경기도 하남시 감북로 39,127.1617394,37.5162035
2015-09-18,양평군,강상면,031-770-3041,476911,경기도 양평군 강상면 교평리 592-1번지,경기도 양평군 강상면 신화길 10,127.4854803,37.4772043
2015-09-18,여주시,강천면,031-887-3982,469862,경기도 여주시 강천면 간매리 311-2번지,경기도 여주시 강천면 긴등길 5,127.7116242,37.2731411
2015-09-18,양평군,강하면,031-770-3071,476922,경기도 양평군 강하면 운심리 35-1번지,경기도 양평군 강하면 운심길 40,127.4105142,37.4958365
2015-09-18,양평군,개군면,031-770-3341,476893,경기도 양평군 개군면 하자포리 262-2번지,경기도 양평군 개군면 하자포길33번길 8,127.536798,37.4259891
2015-09-18,의정부시,경기도북부청,120,480764,경기도 의정부시 신곡동 800번지,경기도 의정부시 청사로 1,127.0716827,37.7475359
2015-09-18,수원시,경기도청,120,442781,경기도 수원시 팔달구 매산로3가 1-1번지,경기도 수원시 팔달구 효원로 1,127.0096199,37.2746669
2015-09-18,광주시,경안동,031-760-4504,464801,광주시 중앙로 125(경안동53-2),,127.2574441,37.4110949
2015-09-18,부천시,고강1동,032-625-7682,421191,경기도 부천시 고강동 290-2번지,경기도 부천시 고강로72번길 8,126.8119983,37.5294598
2015-09-18,부천시,고강본동,032-625-7662,421190,경기도 부천시 고강동 324-4번지,경기도 부천시 고리울로 79,126.8248198,37.5270612
2015-09-18,평택시,고덕면,031-8024-6840,451842,경기도 평택시 고덕면 좌교리 387-25번지,경기도 평택시 고덕면 고덕로 283,127.0177558,37.0423335
2015-09-18,성남시,고등동,031-729-5890,461300,경기도 성남시 수정구 고등동 429-1번지,경기도 성남시 수정구 대왕판교로 949,127.101557,37.4250451
2015-09-18,수원시,고등동,031-228-7606,442882,경기도 수원시 팔달구 고등동 153-1번지,경기도 수원시 팔달구 고등로 37,127.001141,37.2734563
2015-09-18,고양시,고봉동,031-8075-6958,411560,경기도 고양시 일산동구 문봉동 57-4번지,경기도 고양시 일산동구 성현로 397-18,126.827162,37.701873
2015-09-18,안성시,고삼면,031-678-3980,456924,경기도 안성시 고삼면 가유리 287-11번지 가유리 287-8,경기도 안성시 고삼면 고삼호수로 21,127.2634598,37.082695
2015-09-18,고양시,고양동,031-8075-5788,412500,경기도 고양시 덕양구 고양동 195-1번지,경기도 고양시 덕양구 벽제관로 5,126.9037252,37.7033527
2015-09-18,고양시,고양시청,031-909-9000,412701,경기도 고양시 덕양구 주교동 600번지,경기도 고양시 덕양구 고양시청로 10,126.8319596,37.6584144
2015-09-18,안산시,고잔1동,031-481-6602,425806,경기도 안산시 단원구 고잔동 659-6번지,경기도 안산시 단원구 화정천동로 252,126.8192019,37.3268362
2015-09-18,안산시,고잔2동,031-481-6603,425900,경기도 안산시 단원구 고잔동 526-2번지,경기도 안산시 단원구 중앙대로 839,126.8296526,37.3176503
2015-09-18,의왕시,고천동,031-345-3121,437701,경기도 의왕시 고천동 265번지,경기도 의왕시 사그내길 15,126.976078,37.347692
2015-09-18,김포시,고촌읍,031-980-5265,415810,김포시 고촌읍 장차로 14 (신곡리 530-1),,126.7709579,37.6033914
2015-09-18,수원시,곡선동,031-228-6651,441400,경기도 수원시 권선구 곡반정동 525번지,경기도 수원시 권선구 동수원로146번길 174,127.0333291,37.2433171
2015-09-18,광주시,곤지암읍,031-760-2443,464872,경기도 광주시 곤지암읍 곤지암리 135-3번지,경기도 광주시 곤지암읍 광여로 59,127.3523794,37.3509323
2015-09-18,안성시,공도읍,031-678-3610,456823,경기도 안성시 공도읍 만정리 793-1번지,경기도 안성시 공도읍 공도4로 8,127.1725189,37.0010194
2015-09-18,시흥시,과림동,031-310-4662,429120,경기도 시흥시 과림동 490-11번지,경기도 시흥시 금오로 383,126.8328901,37.4368748
2015-09-18,과천시,과천동,02-2150-3500,427060,경기도 과천시 과천동 538-1번지,경기도 과천시 과천대로 608-17,126.9953936,37.4483745
2015-09-18,과천시,과천시청,02-502-500-1~6,427714,경기도 과천시 중앙동 1-3번지,경기도 과천시 관문로 69,126.9867943,37.4302021
2015-09-18,이천시,관고동,031-633-9007,467020,경기도 이천시 관고동 38-1번지,경기도 이천시 설봉로 65,127.4378808,37.2823849
2015-09-18,고양시,관산동,031-8075-5808,412802,경기도 고양시 덕양구 관산동 238-1번지,경기도 고양시 덕양구 통일로 789,126.8625357,37.6880134
2015-09-18,안양시,관양1동,031-8045-4650,431061,경기도 안양시 동안구 관양동 1432-15번지,경기도 안양시 동안구 관악대로 375,126.9645303,37.4047888
2015-09-18,안양시,관양2동,031-8045-4660,431809,경기도 안양시 동안구 관양동 1482-3번지,경기도 안양시 동안구 관양로 215,126.9710008,37.4022858
2015-09-18,포천시,관인면,031-538-3911,487936,경기도 포천시 관인면 탄동리 644-6번지,경기도 포천시 관인면 관인로 14,127.2507094,38.1577316
2015-09-18,수원시,광교동,031-228-8711,443270,경기도 수원시 영통구 이의동 1350번지,경기도 수원시 영통구 도청로89번길 20,127.047397,37.2901809
2015-09-18,광주시,광남동,031-760-4537,464808,경기도 광주시 태전동 249-2번지,경기도 광주시 태봉로 45,127.2297795,37.3890481
2015-09-18,광명시,광명1동,02-2680-6601,423800,경기도 광명시 광명동 9-33번지,경기도 광명시 광복로31번길 10,126.8626667,37.4886204
2015-09-18,광명시,광명2동,02-2680-6602,423012,경기도 광명시 광명동 93-3번지,경기도 광명시 광명로 947,126.8559241,37.4833577
2015-09-18,광명시,광명3동,02-2680-6603,423802,경기도 광명시 광명동 136-8번지,경기도 광명시 광명로928번길 18-20,126.8569341,37.4802342
2015-09-18,광명시,광명4동,02-2680-6604,423858,경기도 광명시 광명동 158-609번지,경기도 광명시 광명로888번길 26-6,126.8563159,37.477134
2015-09-18,광명시,광명5동,02-2680-6605,423810,경기도 광명시 광명동 170번지,경기도 광명시 너부대로35번길 20,126.8475124,37.4787664
2015-09-18,광명시,광명6동,02-2680-6606,423817,경기도 광명시 광명동 786번지,경기도 광명시 광명로791번길 6,126.8486404,37.4710877
2015-09-18,광명시,광명7동,02-2680-6607,423815,경기도 광명시 광명동 720-7번지,경기도 광명시 도덕로 63,126.8544262,37.4698804
2015-09-18,광명시,광명시청,02-2680-2114,423702,경기도 광명시 철산동 222-1번지,경기도 광명시 시청로 20,126.8648458,37.4790974
2015-09-18,양주시,광적면,031-8082-7606,482841,경기도 양주시 광적면 가납리 848-2번지,경기도 양주시 광적면 가래비길 93,126.9836304,37.8245924
2015-09-18,군포시,광정동,031-390-8509,435045,경기도 군포시 산본동 1120-2번지,경기도 군포시 광정로 106,126.9279404,37.3620853
2015-09-18,광주시,광주시청,031-760-2000,464720,경기도 광주시 송정동 570번지,경기도 광주시 행정타운로 50,127.255075,37.4292862
2015-09-18,파주시,광탄면,031-940-8141,413854,경기도 파주시 광탄면 신산리 134-1번지,경기도 파주시 광탄면 혜음로 1044,126.8512215,37.7761649
2015-09-18,부천시,괴안동,032-625-6722,422090,경기도 부천시 괴안동 72번지,경기도 부천시 범안로 40,126.8070078,37.4781341
2015-09-18,구리시,교문1동,031-550-2604,471021,경기도 구리시 교문동 262-4번지,경기도 구리시 경춘로 111,127.1276697,37.6012308
2015-09-18,구리시,교문2동,031-550-2605,471022,경기도 구리시 교문동 821번지,경기도 구리시 장자대로 34,127.134158,37.5870637
2015-09-18,파주시,교하동,031-940-8101,413070,경기도 파주시 다율동 498-5번지,경기도 파주시 교하로 1041,126.715374,37.7359411
2015-09-18,용인시,구갈동,031-324-662-1~4,446903,경기도 용인시 기흥구 구갈동 578번지,경기도 용인시 기흥구 강남로 23,127.1275904,37.2724253
2015-09-18,구리시,구리시청,031-557-1010,471702,경기도 구리시 교문동 390-1번지,경기도 구리시 아차산로 439,127.1307833,37.5944123
2015-09-18,성남시,구미1동,031-729-7930,463808,경기도 성남시 분당구 구미동 26번지,경기도 성남시 분당구 돌마로90번길 8,127.1117751,37.3492851
2015-09-18,성남시,구미동,031-729-7950,463802,경기도 성남시 분당구 구미동 227번지,경기도 성남시 분당구 구미로 130,127.1226133,37.340228
2015-09-18,용인시,구성동,031-324-6701,446910,경기도 용인시 기흥구 언남동 342-1번지,경기도 용인시 기흥구 구성로77번길 17,127.1189832,37.2967623
2015-09-18,수원시,구운동,031-228-6647,441819,경기도 수원시 권선구 구운동 965번지,경기도 수원시 권선구 구운로47번길 57-33,126.9714683,37.2771183
2015-09-18,연천군,군남면,031-839-2603,486820,경기도 연천군 군남면 삼거리 400-5번지,경기도 연천군 군남면 군남로 417,127.018723,38.08516
2015-09-18,포천시,군내면,031-538-3902,487871,경기도 포천시 군내면 구읍리 192-1번지,경기도 포천시 군내면 청군로3290번길 16,127.2177689,37.8889579
2015-09-18,시흥시,군자동,031-310-4482,429881,경기도 시흥시 거모동 1660-2번지,경기도 시흥시 도일로102번길 11,126.785092,37.339936
2015-09-18,군포시,군포1동,031-390-8500,435010,경기도 군포시 당동 751-15번지,경기도 군포시 군포로 531,126.9455607,37.3536106
2015-09-18,군포시,군포2동,031-390-8501,435012,경기도 군포시 당동 871-1번지,경기도 군포시 고산로 263,126.9430785,37.3463472
2015-09-18,군포시,군포시청,031-392-3000,435701,경기도 군포시 금정동 844번지,경기도 군포시 청백리길 6,126.9361499,37.3612539
2015-09-18,군포시,궁내동,031-390-8508,435047,경기도 군포시 산본동 1148-7번지,경기도 군포시 고산로517번길 10,126.9218473,37.3596595
2015-09-18,수원시,권선1동,031-228-6670,441826,경기도 수원시 권선구 권선동 1034-5번지,경기도 수원시 권선구 경수대로352번길 29,127.0246059,37.2577504
2015-09-18,수원시,권선2동,031-228-6179,441837,경기도 수원시 권선구 권선동 1268-2번지,경기도 수원시 권선구 권중로 85,127.0297121,37.251323
2015-09-18,수원시,권선구청,031-228-6114,441710,경기도 수원시 권선구 탑동 900번지,경기도 수원시 권선구 호매실로 12,126.9718995,37.2576343
2015-09-18,안양시,귀인동,031-8045-4700,431802,경기도 안양시 동안구 평촌동 933-4번지,경기도 안양시 동안구 부림로 16,126.9694987,37.3855228
2015-09-18,남양주시,금곡동,031-590-2663,472010,경기도 남양주시 금곡동 434-12번지,경기도 남양주시 홍유릉로 350,127.2056701,37.6320822
2015-09-18,성남시,금곡동,031-729-7910,463895,경기도 성남시 분당구 금곡동 174번지,경기도 성남시 분당구 성남대로171번길 14,127.1070878,37.3516357
2015-09-18,성남시,금광1동,031-729-6650,462801,경기도 성남시 중원구 금광동 1348번지,경기도 성남시 중원구 광명로 328,127.1624451,37.4450842
2015-09-18,성남시,금광2동,031-729-6670,462801,경기도 성남시 중원구 금광동 3657번지,경기도 성남시 중원구 광명로 345,127.1640162,37.4462713
2015-09-18,안성시,금광면,031-678-3710,456861,경기도 안성시 금광면 내우리 20-9번지,경기도 안성시 금광면 금광오산로 228,127.3175329,36.997231
2015-09-18,여주시,금사면,031-887-3892,469832,경기도 여주시 금사면 이포리 197-3번지,경기도 여주시 금사면 이포로 27,127.5333616,37.3925808
2015-09-18,군포시,금정동,031-390-8504,435050,경기도 군포시 금정동 705-5번지,경기도 군포시 금산로 35,126.9392711,37.3654002
2015-09-18,파주시,금촌1동,031-940-8201,413803,경기도 파주시 아동동 351-5번지,경기도 파주시 새꽃로 215,126.7759721,37.7663443
2015-09-18,파주시,금촌2동,031-940-8221,413826,경기도 파주시 금촌동 1011번지,경기도 파주시 쇠재로 115,126.7772012,37.7515853
2015-09-18,파주시,금촌3동,031-940-8745,413800,경기도 파주시 금촌동 27-13번지,경기도 파주시 경의로 1803,126.775401,37.7675325
2015-09-18,수원시,금호동,031-228-6853,441884,경기도 수원시 권선구 호매실동 1367번지,경기도 수원시 권선구 칠보로 161,126.9570464,37.2662294
2015-09-18,화성시,기배동,031-369-4580,445310,경기도 화성시 기안동 457-21번지,경기도 화성시 기안남로 62,126.9846354,37.224334
2015-09-18,용인시,기흥구청,031-324-6114,446593,경기도 용인시 기흥구 구갈동 355번지,경기도 용인시 기흥구 관곡로 95,127.1146907,37.2804469
2015-09-18,용인시,기흥동,031-324-6671,446902,경기도 용인시 기흥구 공세동 388-23번지,경기도 용인시 기흥구 한일로9번길 9,127.1027323,37.2429817
2015-09-18,김포시,김포1동,031-980-5201,415030,경기도 김포시 북변동 703번지,경기도 김포시 북변1로 13,126.7057374,37.6275662
2015-09-18,김포시,김포2동,031-980-5221,415060,경기도 김포시 장기동 1338번지,경기도 김포시 김포대로 1433,126.6716982,37.6523074
2015-09-18,김포시,김포시청,031-984-2114,415728,경기도 김포시 사우동 263-1번지,경기도 김포시 사우중로 1,126.7157171,37.6151895
2015-09-18,양주시,남면,031-8082-7572,482873,경기도 양주시 남면 신산리 268-12번지,경기도 양주시 남면 개나리17길 6,126.9767241,37.8981269
2015-09-18,용인시,남사면,031-324-5642,449883,경기도 용인시 처인구 남사면 봉무리 438-1번지,경기도 용인시 처인구 남사면 내기로 22,127.1505051,37.1156802
2015-09-18,화성시,남양동,031-369-274-1~5,445010,경기도 화성시 남양읍 남양리 1340번지,경기도 화성시 남양읍 남양성지로 192-5,126.8237714,37.2117622
2015-09-18,남양주시,남양주시청,031-590-2114,472701,경기도 남양주시 금곡동 185-10번지,경기도 남양주시 경춘로 1037,127.2179956,37.6366154
2015-09-18,광주시,남종면,031-760-4972,464879,경기도 광주시 남종면 분원리 132번지,경기도 광주시 남종면 분원길 9,127.3019441,37.4943295
2015-09-18,오산시,남촌동,031-370-6260,447130,경기도 오산시 청학동 16-6번지,경기도 오산시 청학로 55-5,127.0634552,37.1545873
2015-09-18,의왕시,내손1동,031-345-3211,437805,경기도 의왕시 내손동 787번지,경기도 의왕시 갈미로 71,126.9755986,37.3782836
2015-09-18,의왕시,내손2동,031-345-3241,437810,경기도 의왕시 내손동 849-2번지,경기도 의왕시 복지로 109,126.981483,37.38759
2015-09-18,포천시,내촌면,031-538-3903,487831,경기도 포천시 내촌면 내리 368-5번지,경기도 포천시 내촌면 내촌로 70,127.2285922,37.7861387
2015-09-18,의정부시,녹양동,031-828-4230,480120,경기도 의정부시 녹양동 374-6번지,경기도 의정부시 진등로 21,127.0323067,37.7601308
2015-09-18,고양시,능곡동,031-8075-5828,412818,경기도 고양시 덕양구 토당동 335-4번지,경기도 고양시 덕양구 토당로 83,126.8180347,37.6226932
2015-09-18,시흥시,능곡동,031-310-4722,429240,경기도 시흥시 능곡동 710번지,경기도 시흥시 능곡로 132,126.815847,37.3663177
2015-09-18,여주시,능서면,031-887-3853,469813,경기도 여주시 능서면 번도리 502-3번지,경기도 여주시 능서면 번도1길 2-9,127.5734641,37.2999848
2015-09-18,성남시,단대동,031-729-5790,461801,경기도 성남시 수정구 단대동 129번지,경기도 성남시 수정구 희망로506번길 21,127.1556651,37.4496452
2015-09-18,안산시,단원구청,031-481-6000,425900,경기도 안산시 단원구 초지동 666-2번지,경기도 안산시 단원구 중앙대로 685,126.8117547,37.3197749
2015-09-18,양평군,단월면,031-770-3191,476853,경기도 양평군 단월면 보룡리 343-2번지,경기도 양평군 단월면 보룡길 53,127.6729902,37.5385578
2015-09-18,안양시,달안동,031-8045-4640,431058,경기도 안양시 동안구 비산동 1101-5번지,경기도 안양시 동안구 달안로 65,126.9501783,37.3960978
2015-09-18,김포시,대곶면,031-980-5327,415850,경기도 김포시 대곶면 율생리 529-3번지,경기도 김포시 대곶면 율생로 83-23,126.5818992,37.6490897
2015-09-18,고양시,대덕동,031-8075-5987,412170,경기도 고양시 덕양구 덕은동 191-9번지,경기도 고양시 덕양구 덕은로 60-22,126.875162,37.585508
2015-09-18,안성시,대덕면,031-678-3800,456831,경기도 안성시 대덕면 건지리 425-1번지,경기도 안성시 대덕면 중앙로 82,127.2378725,37.0124258
2015-09-18,안산시,대부동,031-481-6591,425330,경기도 안산시 단원구 대부북동 467번지,경기도 안산시 단원구 대부중앙로 97-9,126.5852893,37.243767
2015-09-18,여주시,대신면,031-887-3932,469844,경기도 여주시 대신면 율촌리 390번지,경기도 여주시 대신면 여양로 1456-10,127.5865446,37.3750692
2015-09-18,군포시,대야동,031-390-8550,435060,경기도 군포시 대야미동 636-7번지,경기도 군포시 대야2로 139,126.9153468,37.3302814
2015-09-18,시흥시,대야동,031-310-4302,429812,경기도 시흥시 대야동 491-3번지,경기도 시흥시 복지로 37,126.7885382,37.443046
2015-09-18,오산시,대원동,031-370-6230,447060,경기도 오산시 원동 404-8번지,경기도 오산시 오산로132번길 28,127.071748,37.138623
2015-09-18,이천시,대월면,031-632-1001,467850,경기도 이천시 대월면 초지리 220번지,경기도 이천시 대월면 사동로 1-10,127.4923865,37.2298746
2015-09-18,고양시,대화동,031-8075-7882,411803,경기도 고양시 일산서구 대화동 2035번지,경기도 고양시 일산서구 일산로 668,126.75511,37.682931
2015-09-18,고양시,덕양구청,031-909-9000,412702,경기도 고양시 덕양구 화정동 955번지,경기도 고양시 덕양구 화중로104번길 13,126.832539,37.637223
2015-09-18,하남시,덕풍1동,031-790-6604,465011,경기도 하남시 덕풍동 522-3번지,경기도 하남시 역말로 14,127.2005793,37.5335152
2015-09-18,하남시,덕풍2동,031-790-6605,465012,경기도 하남시 덕풍동 693번지,경기도 하남시 덕풍공원로 12,127.1981451,37.5422842
2015-09-18,하남시,덕풍3동,031-790-6606,465831,경기도 하남시 덕풍동 737번지,경기도 하남시 덕풍서로 66,127.2047858,37.5525119
2015-09-18,남양주시,도농동,031-590-2666,472100,경기도 남양주시 도농동 53-1번지,경기도 남양주시 경춘로 407,127.159001,37.607238
2015-09-18,부천시,도당동,032-625-5782,420801,경기도 부천시 도당동 35-3번지,경기도 부천시 평천로849번길 26-7,126.7859291,37.5163113
2015-09-18,광주시,도척면,031-760-4940,464882,경기도 광주시 도척면 노곡리 58-14번지,경기도 광주시 도척면 노곡로 20,127.3311425,37.3045943
2015-09-18,성남시,도촌동,031-729-6817,462700,경기도 성남시 중원구 도촌동 633번지,경기도 성남시 중원구 도촌북로 28,127.1527859,37.4164952
2015-09-18,구리시,동구동,031-550-2602,471010,경기도 구리시 인창동 699-1번지,경기도 구리시 동구릉로148번길 25,127.1393488,37.611734
2015-09-18,동두천시,동두천시청,031-865-710-1~5,483708,경기도 동두천시 생연동 438번지,경기도 동두천시 방죽로 23,127.0615412,37.9034106
2015-09-18,용인시,동백동,031-324-6741,446916,경기도 용인시 기흥구 중동 847번지,경기도 용인시 기흥구 동백중앙로 213,127.1510056,37.2722139
2015-09-18,용인시,동부동,031-324-5982,449928,경기도 용인시 처인구 마평동 533-8번지,경기도 용인시 처인구 중부대로 1574,127.2191759,37.2327714
2015-09-18,남양주시,동부출장소,031-590-8611,472844,경기도 남양주시 화도읍 답내리 202-2번지,경기도 남양주시 화도읍 경춘로 2376-4,127.3510272,37.6586533
2015-09-18,화성시,동부출장소,031-369-4114,445390,경기도 화성시 진안동 526-2번지,경기도 화성시 병점3로 23,127.0359319,37.2087558
2015-09-18,안양시,동안구청,031-8045-4114,431718,경기도 안양시 동안구 비산동 1111번지,경기도 안양시 동안구 동안로 158,126.9512106,37.3925122
2015-09-18,용인시,동천동,031-324-8701,448500,경기도 용인시 수지구 동천동 176-4번지,경기도 용인시 수지구 신수로783번길 40,127.0992375,37.341861
2015-09-18,화성시,동탄1동,031-369-4660,445160,경기도 화성시 반송동 86번지,경기도 화성시 동탄반석로 195,127.0719248,37.2064579
2015-09-18,화성시,동탄2동,031-369-4840,445160,경기도 화성시 반송동 137번지,경기도 화성시 동탄반석로 87,127.0723122,37.1969462
2015-09-18,화성시,동탄3동,031-369-4070,445320,경기도 화성시 능동 1119번지,경기도 화성시 동탄지성로 151,127.0587655,37.2099433
2015-09-18,화성시,동탄면,031-369-464-0~6,445813,경기도 화성시 동탄면 방교리 828번지,경기도 화성시 동탄면 동탄산단8길 15-12,127.086425,37.187627
2015-09-18,화성시,마도면,031-369-275-1~7,445861,경기도 화성시 마도면 석교리 243-2번지,경기도 화성시 마도면 마도북로 389,126.7696471,37.2054845
2015-09-18,고양시,마두1동,031-8075-6871,411351,경기도 고양시 일산동구 마두동 908-2번지,경기도 고양시 일산동구 일산로 282,126.7866296,37.6609936
2015-09-18,고양시,마두2동,031-8075-6894,411352,경기도 고양시 일산동구 마두동 782번지,경기도 고양시 일산동구 강송로 166,126.784443,37.653548
2015-09-18,용인시,마북동,031-324-6721,446912,경기도 용인시 기흥구 마북동 181-2번지,경기도 용인시 기흥구 마북로 159,127.1235246,37.3040956
2015-09-18,이천시,마장면,031-632-2001,467810,경기도 이천시 마장면 오천리 62-4번지,경기도 이천시 마장면 오천로 107,127.357968,37.2489727
2015-09-18,안양시,만안구청,031-8045-3114,430718,경기도 안양시 만안구 안양동 530번지,경기도 안양시 만안구 안양로 128,126.9324066,37.3866427
2015-09-18,수원시,매교동,031-228-7604,442843,경기도 수원시 팔달구 매교동 88-1번지,경기도 수원시 팔달구 효원로89번길 60,127.0142506,37.2685718
2015-09-18,수원시,매산동,031-228-7645,442847,경기도 수원시 팔달구 매산로2가 40-30번지,경기도 수원시 팔달구 매산로 41,127.0056957,37.2687347
2015-09-18,화성시,매송면,031-369-272-1~3,445831,경기도 화성시 매송면 어천리 375-2번지,경기도 화성시 매송면 매송로 43,126.9091354,37.2523515
2015-09-18,수원시,매탄1동,031-228-8604,443800,경기도 수원시 영통구 매탄동 176-4번지,경기도 수원시 영통구 인계로189번길 119,127.0405297,37.2705012
2015-09-18,수원시,매탄2동,031-228-8628,443801,경기도 수원시 영통구 매탄동 198-99번지,경기도 수원시 영통구 매영로39번길 21,127.0474385,37.270149
